Param_Name,Value,Trial,Recall,NDCG
latdim,16,0,0.075876,0.064866
latdim,16,1,0.073067,0.061538
latdim,16,2,0.074361,0.062944
latdim,16,3,0.074874,0.063542
latdim,16,4,0.073635,0.062422
latdim,32,0,0.066771,0.055163
latdim,32,1,0.067975,0.057189
latdim,32,2,0.071006,0.060091
latdim,32,3,0.070061,0.059152
latdim,32,4,0.069178,0.058211
latdim,64,0,0.066300,0.055834
latdim,64,1,0.063594,0.053657
latdim,64,2,0.063064,0.053282
latdim,64,3,0.063966,0.054138
latdim,64,4,0.060163,0.050327
latdim,128,0,0.057798,0.048787
latdim,128,1,0.061474,0.051992
latdim,128,2,0.060487,0.050441
latdim,128,3,0.061126,0.051895
latdim,128,4,0.061486,0.051736
block_num,1,0,0.063373,0.052120
block_num,1,1,0.062401,0.051552
block_num,1,2,0.062185,0.051097
block_num,1,3,0.059594,0.048601
block_num,1,4,0.062992,0.051703
block_num,2,0,0.073028,0.062510
block_num,2,1,0.069165,0.058456
block_num,2,2,0.069177,0.058844
block_num,2,3,0.067639,0.056595
block_num,2,4,0.071126,0.060902
block_num,3,0,0.072408,0.061296
block_num,3,1,0.071705,0.061725
block_num,3,2,0.073693,0.062825
block_num,3,3,0.073069,0.062398
block_num,3,4,0.077828,0.065800
block_num,4,0,0.075685,0.064473
block_num,4,1,0.078797,0.066934
block_num,4,2,0.081343,0.068867
block_num,4,3,0.068428,0.056553
block_num,4,4,0.069403,0.058898
num_head,1,0,0.070445,0.059689
num_head,1,1,0.068946,0.058972
num_head,1,2,0.068139,0.057178
num_head,1,3,0.065248,0.053888
num_head,1,4,0.071329,0.060181
num_head,2,0,0.067897,0.057349
num_head,2,1,0.070789,0.061144
num_head,2,2,0.070791,0.060245
num_head,2,3,0.069929,0.058566
num_head,2,4,0.068775,0.057402
num_head,4,0,0.068926,0.058454
num_head,4,1,0.071126,0.060268
num_head,4,2,0.069771,0.058703
num_head,4,3,0.070852,0.060168
num_head,4,4,0.067995,0.057253
num_head,8,0,0.072980,0.062280
num_head,8,1,0.071669,0.060673
num_head,8,2,0.072610,0.062120
num_head,8,3,0.069303,0.058712
num_head,8,4,0.071659,0.061371
edgeSampRate,0.1,0,0.072214,0.061422
edgeSampRate,0.1,1,0.067456,0.056331
edgeSampRate,0.1,2,0.069522,0.059392
edgeSampRate,0.1,3,0.069840,0.059071
edgeSampRate,0.1,4,0.072283,0.062098
edgeSampRate,0.3,0,0.070808,0.059908
edgeSampRate,0.3,1,0.067662,0.056243
edgeSampRate,0.3,2,0.070075,0.059344
edgeSampRate,0.3,3,0.070604,0.059446
edgeSampRate,0.3,4,0.068137,0.058270
edgeSampRate,0.5,0,0.070137,0.059929
edgeSampRate,0.5,1,0.067141,0.056562
edgeSampRate,0.5,2,0.067777,0.057024
edgeSampRate,0.5,3,0.069185,0.058369
edgeSampRate,0.5,4,0.067923,0.057248
latdim,16,5,0.075109,0.064135
latdim,16,6,0.075969,0.064077
latdim,16,7,0.074831,0.064138
latdim,16,8,0.075394,0.063356
latdim,16,9,0.075126,0.063568
latdim,32,5,0.069599,0.058985
latdim,32,6,0.069817,0.058582
latdim,32,7,0.069378,0.058499
latdim,32,8,0.071193,0.060663
latdim,32,9,0.069419,0.058862
latdim,64,5,0.060432,0.050767
latdim,64,6,0.064722,0.054661
latdim,64,7,0.057975,0.047107
latdim,64,8,0.061619,0.051644
latdim,64,9,0.061956,0.051170
latdim,128,5,0.060881,0.051526
latdim,128,6,0.061658,0.052484
latdim,128,7,0.061104,0.050911
latdim,128,8,0.058905,0.049773
latdim,128,9,0.061512,0.051889
block_num,1,5,0.061273,0.049897
block_num,1,6,0.063717,0.052248
block_num,1,7,0.063049,0.051303
block_num,1,8,0.061478,0.050303
block_num,1,9,0.063525,0.051992
block_num,2,5,0.069224,0.057762
block_num,2,6,0.070239,0.059986
block_num,2,7,0.069154,0.058582
block_num,2,8,0.070236,0.059118
block_num,2,9,0.070288,0.058950
block_num,3,5,0.071084,0.060192
block_num,3,6,0.073668,0.063091
block_num,3,7,0.072965,0.061733
block_num,3,8,0.073444,0.062905
block_num,3,9,0.072174,0.061243
block_num,4,5,0.080965,0.068784
block_num,4,6,0.075549,0.063921
block_num,4,7,0.081087,0.069156
block_num,4,8,0.077761,0.065966
block_num,4,9,0.078220,0.066312
num_head,1,5,0.069389,0.059020
num_head,1,6,0.067790,0.057150
num_head,1,7,0.067970,0.057352
num_head,1,8,0.070379,0.058650
num_head,1,9,0.071918,0.061222
num_head,2,5,0.069755,0.059524
num_head,2,6,0.070457,0.059967
